Timestamp,What is your age?,What pronouns do you use?,What is your nationality or ethnicity?,How often do you use Tik Tok?,What is the first page you visit when you open TikTok?,How much do you use each of these features? [For You page],How much do you use each of these features? [Following page],How much do you use each of these features? [Favorites page],How much do you use each of these features? [Friends Page],How much do you use each of these features? [Discover Page],How much do you use each of these features? [Search bar],How much do you use each of these features? [Like],How much do you use each of these features? [Comment],How much do you use each of these features? [Save],How much do you use each of these features? [Follow],How much do you use each of these features? [Share],How much do you use each of these features? [Not interested ],How much do you use each of these features? [Refresh ],How often do you see content related to your interests in the For You page?,"After using the search bar, what action do you do? [Go to For You Page]","After using the search bar, what action do you do? [Keep scrolling through search results ]","After using the search bar, what action do you do? [Use the search bar again]","After using the search bar, what action do you do? [Other]","After going to the Discover page, what action do you do? [Go to For You Page]","After going to the Discover page, what action do you do? [Stay at Discover Page]","After going to the Discover page, what action do you do? [Other]",How many videos do you watch while checking out an account?,How much content do you watch in the following topics? [Politics],How much content do you watch in the following topics? [Sports],How much content do you watch in the following topics? [Eating Habits],How much content do you watch in the following topics? [Memes],How much content do you watch in the following topics? [Conspiracies],How much content do you watch in the following topics? [Pets],How much content do you watch in the following topics? [Dance],How much content do you watch in the following topics? [Entertainment],How much content do you watch in the following topics? [Food],How much content do you watch in the following topics? [Games],How much content do you watch in the following topics? [Other],Recommend up to 3 political topics of your interest that you have recently watched on Tiktok,"Recommend up to 3 creators or topics that you watch about conspiracies( UFO, Flat Earth, Reptilians, Illuminati, etc)","Recommend up to 3 creators or topics that you watch about eating habits (e.g., balanced meal ideas, cooking tutorials, excessive food consumption, etc.)"
2/23/2024 16:45:48,19,She/her,Québécoise ,Multiple times a day,For You,Always,Rarely,Often,Rarely,Never,Often,Often,Never,Sometimes,Never,Often,Rarely,,Often,Sometimes,Sometimes,Rarely,Never,Never,Never,Never,1-5 videos,Never,Rarely,Rarely,Sometimes,Rarely,Rarely,Often,Often,Sometimes,Rarely,Never,Nothing ,"Bermuda triangle, flights disappearance, Illuminati.","Easy recipes, better lifestyle with food, cooking to help people in need. "
3/15/2024 12:32:00,20,He/him,Syrian,Once everyday,For You,Always,Never,Often,Never,Never,Sometimes,Sometimes,Never,Sometimes,Sometimes,Rarely,Sometimes,Rarely,Always,Often,Never,Rarely,Never,Always,Never,Never,1-5 videos,Rarely,Never,Often,Always,Rarely,Always,Never,Often,Often,Sometimes,Sometimes,Canadian federal elections. EU politics. Russian Politics,Nothing that I recall recently,"Eddieabbew, susi.vidal"
3/7/2024 12:57:15,20,She/her,Canadian/Chinese,Once in a while,For You,Always,Never,Never,Never,Never,Sometimes,Never,Sometimes,Never,Never,Never,Never,Rarely,Often,Always,Never,Never,Never,Never,Never,Never,1-5 videos,Often,Rarely,Sometimes,Sometimes,Never,Sometimes,Never,Sometimes,Often,Never,Always,"Biden vs Trump, migrants in north america",None,"Emily Mariko, Idk their names"
3/13/2024 16:26:50,19,She/her,Asian,Multiple times a day,For You,Always,Sometimes,Never,Rarely,Never,Always,Rarely,Never,Always,Never,Always,Sometimes,Often,Often,Always,Always,Sometimes,Never,Never,Never,Never,1-5 videos,Sometimes,Sometimes,Sometimes,Often,Never,Sometimes,Rarely,Sometimes,Sometimes,Never,Never,"Royal family conspiracy about Kate Middleton, israel v palestine, tiktok being officially banned by legislation  ","Royal family conspiracy about Kate Middleton, Jubilee about flat earthers v scientists  ","gym what i eat in a day, creatine, cooking tutorials"
3/7/2024 13:22:40,19,She/her,French American Canadian (I am trinational),Once everyday,For You,Always,Rarely,Never,Never,Always,Sometimes,Often,Rarely,Always,Sometimes,Sometimes,Sometimes,Sometimes,Often,Often,Often,Often,Never,Often,Sometimes,Never,Upto 10 vidoes,Sometimes,Never,Never,Sometimes,Rarely,Sometimes,Rarely,Often,Rarely,Rarely,Rarely,"I like to watch French daily political recaps (@HugoDecrypt), Biden being old and senile, Bernie sanders!!!!",Watch too rarely!,Have never watched this!
2/24/2024 10:16:36,18,She/her,brazilian,Multiple times a day,For You,Always,Sometimes,Sometimes,Often,Rarely,Sometimes,Always,Rarely,Sometimes,Rarely,Often,Rarely,,Often,Always,Sometimes,Sometimes,Rarely,Always,Rarely,Rarely,1-5 videos,Rarely,Rarely,Sometimes,Often,Sometimes,Sometimes,Often,Always,Often,Rarely,Rarely,,the egg theory (about reincarnation),healthier snack options that are still sweet
3/15/2024 12:02:00,21,She/her,Chinese,Multiple times a day,For You,Always,Rarely,Never,Never,Never,Sometimes,Sometimes,Never,Rarely,Rarely,Often,Rarely,Never,Often,Often,Sometimes,Sometimes,Never,Always,Never,Never,Upto 10 vidoes,Never,Never,Often,Always,Rarely,Always,Never,Sometimes,Always,Often,Never,"Palestine, Biden's ban on TikTok",I don't watch conspiracies,"I don't retain names of creators, but I can recognize their faces"
3/14/2024 11:53:39,19,She/her,lebanese,Multiple times a day,For You,Always,Sometimes,Rarely,Sometimes,Never,Often,Often,Rarely,Often,Rarely,Often,Rarely,Rarely,Often,Often,Often,Often,Sometimes,Never,Never,Never,1-5 videos,Sometimes,Rarely,Rarely,Often,Sometimes,Sometimes,Sometimes,Often,Often,Sometimes,Always,watching politics on tiktok is stupid its all brainwashed white people,im not that interessted i just watch the video and move on unless i m in a phase,i watch private chef that cooks for millionaires its fun
3/7/2024 23:12:24,18,He/him,Canadian,Once every week,For You,Often,Sometimes,Rarely,Sometimes,Rarely,Rarely,Often,Sometimes,Rarely,Sometimes,Rarely,Rarely,Sometimes,Sometimes,Often,Rarely,Sometimes,Never,Often,Never,Never,1-5 videos,Rarely,Sometimes,Never,Often,Rarely,Sometimes,Sometimes,Often,Rarely,Sometimes,Rarely,"Gaza, American elections, Canadian",None,"Joey, Uncle Roger, mukbang"
3/7/2024 13:16:13,21,She/her,Turkish,Once everyday,For You,Always,Rarely,Rarely,Rarely,Rarely,Rarely,Often,Never,Sometimes,Rarely,Sometimes,Sometimes,Never,Often,Often,Often,Rarely,Never,Often,Rarely,Never,1-5 videos,Often,Sometimes,Rarely,Sometimes,Never,Always,Rarely,Always,Always,Never,Often,"Palestine, US politics, Turkish politics",,"Lifestyle, cooking, reading/books"
